elapsed_s,lat_deg,lon_deg,yaw_rad,speed_mps,depth_m,alt_asf_m
1.019e-06,39,-76.5,0,0,0,60
0.05019165,39,-76.5,0,0,0,60
0.100390291,39,-76.5,0,0,0,60
0.1505853,39.00000002,-76.5,6.235012506e-13,0.050042844,0,60
0.200825312,39.00000007,-76.5,3.176819996e-13,0.100012092,0,60
0.251017056,39.00000014,-76.5,4.315749053e-13,0.150008479,0,60
0.30123316,39.00000023,-76.5,-6.081058169e-12,0.200004162,0,60
0.351478972,39.00000034,-76.5,7.927799234e-12,0.250012054,0,60
0.401737312,39.00000047,-76.5,-3.985790866e-12,0.300020396,0,60
0.451940198,39.00000063,-76.5,3.945089299e-13,0.350036626,0,60
0.502126047,39.00000081,-76.5,-7.204493831e-12,0.400038343,0,60
0.552320874,39.00000101,-76.5,4.227993992e-12,0.450011985,0,60
0.60249431,39.00000124,-76.5,-4.294687499e-12,0.500074217,0,60
0.652705679,39.00000149,-76.5,-1.144357333e-11,0.549995431,0,60
0.702930646,39.00000176,-76.5,-6.581335801e-13,0.600050582,0,60
0.753139295,39.00000205,-76.5,9.448990707e-12,0.650006919,0,60
0.803320478,39.00000236,-76.5,8.257232805e-12,0.700004272,0,60
0.853534863,39.0000027,-76.5,1.4206498e-12,0.749997208,0,60
0.903744619,39.00000306,-76.5,-2.663802805e-12,0.800000726,0,60
0.95399853,39.00000345,-76.5,-1.810271259e-12,0.850002072,0,60
1.004231719,39.00000385,-76.5,-9.188092758e-12,0.900008539,0,60
1.054412451,39.00000428,-76.5,-7.82205211e-12,0.950000857,0,60
1.10460506,39.00000473,-76.5,-2.94455772e-12,1.000006914,0,60
1.154780387,39.0000052,-76.5,-8.172234509e-12,1.050000802,0,60
1.204976055,39.0000057,-76.5,1.042954797e-12,1.100006289,0,60
1.255144606,39.00000622,-76.5,-1.250133004e-12,1.150004829,0,60
1.305322631,39.00000676,-76.5,-1.644191125e-12,1.200071038,0,60
1.355497316,39.00000732,-76.5,1.555509666e-12,1.249996848,0,60
1.405662219,39.0000079,-76.5,1.233202568e-11,1.299998983,0,60
1.455861161,39.00000851,-76.5,1.519110343e-12,1.349994854,0,60
1.506027108,39.00000914,-76.5,-6.786843262e-12,1.39999852,0,60
1.556207544,39.0000098,-76.5,-1.293029606e-11,1.449994933,0,60
1.606392519,39.00001047,-76.5,5.284465914e-13,1.500004403,0,60
1.656571451,39.00001117,-76.5,7.551100776e-12,1.549994922,0,60
1.7067878,39.00001189,-76.5,-1.154200148e-11,1.599998774,0,60
1.757193437,39.00001263,-76.5,-1.18280104e-11,1.649998259,0,60
1.807396805,39.0000134,-76.5,-6.624424662e-13,1.699998754,0,60
1.857608447,39.00001419,-76.5,9.756381157e-12,1.749995562,0,60
1.907838538,39.000015,-76.5,-8.509015344e-13,1.800002528,0,60
1.958029709,39.00001583,-76.5,3.144413201e-12,1.849997619,0,60
2.008240763,39.00001669,-76.5,8.308185362e-12,1.900005969,0,60
2.05844041,39.00001757,-76.5,9.306560316e-12,1.949998221,0,60
2.108654324,39.00001847,-76.5,-1.184666729e-11,2.000054433,0,60
2.158849482,39.00001939,-76.5,-6.535688391e-13,2.049997643,0,60
2.20904572,39.00002034,-76.5,1.094199756e-11,2.100001809,0,60
