lat_deg,lon_deg
39,-76.5
39.000018,-76.50000085
39.000036,-76.50000185
39.000054,-76.50000286
39.000072,-76.50000386
39.00009,-76.50000486
39.00010799,-76.50000587
39.00012599,-76.50000687
39.00014399,-76.50000787
39.00016199,-76.50000888
39.00017999,-76.50000988
39.00019799,-76.50001089
39.00021599,-76.50001189
39.00023398,-76.50001289
39.00025198,-76.5000139
39.00026998,-76.5000149
39.00028798,-76.50001591
39.00030598,-76.50001691
39.00032398,-76.50001791
39.00034197,-76.50001892
39.00035997,-76.50001992
39.00037797,-76.50002092
39.00039597,-76.50002193
39.00041397,-76.50002293
39.00043197,-76.50002394
39.00044997,-76.50002494
39.00046796,-76.50002594
39.00048596,-76.50002695
39.00050396,-76.50002795
39.00052196,-76.50002896
39.00053996,-76.50002996
39.00055796,-76.50003096
39.00057595,-76.50003197
39.00059395,-76.50003297
39.00061195,-76.50003398
39.00062995,-76.50003498
39.00064795,-76.50003598
39.00066595,-76.50003699
39.00068395,-76.50003799
39.00070194,-76.50003899
39.00071994,-76.50004
39.00073794,-76.500041
39.00075594,-76.50004201
39.00077394,-76.50004301
39.00079194,-76.50004401
39.00080993,-76.50004502
39.00082793,-76.50004602
39.00084593,-76.50004703
39.00086393,-76.50004803
39.00088193,-76.50004903
39.00089993,-76.50005004
39.00091793,-76.50005104
39.00093592,-76.50005205
39.00095392,-76.50005305
39.00097192,-76.50005405
39.00098992,-76.50005506
39.00100792,-76.50005606
39.00102592,-76.50005706
39.00104391,-76.50005807
39.00106191,-76.50005907
39.00107991,-76.50006008
39.00109791,-76.50006108
39.00111591,-76.50006208
39.00113391,-76.50006309
39.00115191,-76.50006409
39.0011699,-76.5000651
39.0011879,-76.5000661
39.0012059,-76.5000671
39.0012239,-76.50006811
39.0012419,-76.50006911
39.0012599,-76.50007012
39.00127789,-76.50007112
39.00129589,-76.50007212
39.00131389,-76.50007313
39.00133189,-76.50007413
39.00134989,-76.50007514
39.00136789,-76.50007614
39.00138589,-76.50007714
39.00140388,-76.50007815
39.00142188,-76.50007915
39.00143988,-76.50008015
39.00145788,-76.50008116
39.00147588,-76.50008216
39.00149388,-76.50008317
39.00151187,-76.50008417
39.00152987,-76.50008517
39.00154787,-76.50008618
39.00156587,-76.50008718
39.00158387,-76.50008819
39.00160187,-76.50008919
39.00161987,-76.50009019
39.00163786,-76.5000912
39.00165586,-76.5000922
39.00167386,-76.50009321
39.00169186,-76.50009421
39.00170986,-76.50009521
39.00172786,-76.50009622
39.00174585,-76.50009722
39.00176385,-76.50009823
39.00178185,-76.50009923
39.00179985,-76.50010023
39.00181785,-76.50010124
39.00183585,-76.50010224
39.00185385,-76.50010324
39.00187184,-76.50010425
39.00188984,-76.50010525
39.00190784,-76.50010626
39.00192584,-76.50010726
39.00194384,-76.50010826
39.00196184,-76.50010927
39.00197983,-76.50011027
39.00199783,-76.50011128
39.00201583,-76.50011228
39.00203383,-76.50011328
39.00205183,-76.50011429
39.00206983,-76.50011529
39.00208783,-76.5001163
39.00210582,-76.5001173
39.00212382,-76.5001183
39.00214182,-76.50011931
39.00215982,-76.50012031
39.00217782,-76.50012132
39.00219582,-76.50012232
39.00221381,-76.50012332
39.00223181,-76.50012433
39.00224981,-76.50012533
39.00226781,-76.50012634
39.00228581,-76.50012734
39.00230381,-76.50012834
39.00232181,-76.50012935
39.0023398,-76.50013035
39.0023578,-76.50013135
39.0023758,-76.50013236
39.0023938,-76.50013336
39.0024118,-76.50013437
39.0024298,-76.50013537
39.00244779,-76.50013637
39.00246579,-76.50013738
39.00248379,-76.50013838
39.00250179,-76.50013939
39.00251979,-76.50014039
39.00253779,-76.50014139
39.00255579,-76.5001424
39.00257378,-76.5001434
39.00259178,-76.50014441
39.00260978,-76.50014541
39.00262778,-76.50014641
39.00264578,-76.50014742
39.00266378,-76.50014842
39.00268177,-76.50014943
39.00269977,-76.50015043
39.00271777,-76.50015143
39.00273577,-76.50015244
